subclone,parent,mutation,beta,fitness,cells,mutations,dob,dod,maxpop,deaths,mutation_selection,resistant,tumorid,finalsnapshot,year
0,-1,0.004769371580227868,0.9952306284197722,1.004769371580228,868048112,1,1,0,868048123,282020928,1.0,0,AA9_301015,Y,26.0
51,0,0.0044850980242533605,0.9907669214945702,1.0092330785054298,600,2,2710,0,692,61997,4.178164481061231E-9,1,AA9_301015,Y,26.0
78,0,0.01567731952611355,0.9796280798558606,1.0203719201441395,113848,2,2825,0,113848,2683172,6.414313524771842E-9,1,AA9_301015,Y,26.0
121,0,0.03948470336335708,0.95593424227849,1.04406575772151,132253420,2,2899,0,132253421,1432832625,8.051402211606273E-9,1,AA9_301015,Y,26.0
190,0,0.039014362580461724,0.9564023398314224,1.0435976601685777,3711840,2,2979,0,3711856,40526786,1.9283591390362176E-9,1,AA9_301015,Y,26.0
207,0,0.018380137016480842,0.9769381531064184,1.0230618468935817,20028,2,3001,0,20030,380828,4.375489082164563E-9,1,AA9_301015,Y,26.0
233,0,0.02137140679908446,0.9739611498009048,1.0260388501990954,74524,2,3020,0,74535,1386927,5.023730764719403E-9,1,AA9_301015,Y,26.0
238,0,0.03583389437800821,0.9595676391992193,1.0404323608007808,387092,2,3026,0,387093,4683627,7.67911700894075E-9,1,AA9_301015,Y,26.0
240,0,0.0038014717353808485,0.9914472873156491,1.008552712684351,518,2,3027,0,561,18754,2.948190913620863E-9,1,AA9_301015,Y,26.0
277,0,0.030663740814032694,0.9647131343797214,1.0352868656202787,233914,2,3052,0,233914,3240059,8.150742525359078E-9,1,AA9_301015,Y,26.0
292,0,0.022690956440490004,0.9726478935820576,1.0273521064179425,12138,2,3067,0,12144,219870,1.9557966357552914E-10,1,AA9_301015,Y,26.0
294,0,0.006174412593905232,0.9890856638938169,1.010914336106183,754,2,3067,0,795,22680,1.8422954273233927E-9,1,AA9_301015,Y,26.0
302,0,0.02566812206907135,0.9696849271626149,1.030315072837385,10542,2,3070,0,10551,164148,7.2908419301853655E-9,1,AA9_301015,Y,26.0
388,0,0.015397072463377607,0.9799069903162201,1.02009300968378,622,2,3116,0,626,9338,3.850089358437003E-9,1,AA9_301015,Y,26.0
391,0,0.02919236646989553,0.9661774911928778,1.0338225088071222,3300,2,3117,0,3313,46855,2.823210998315062E-9,1,AA9_301015,Y,26.0
395,0,0.010418012872345601,0.9848623029219424,1.0151376970780577,242,2,3118,0,275,8241,6.407077202119638E-9,1,AA9_301015,Y,26.0
512,0,0.007504148125610522,0.9877622703649658,1.0122377296350342,28,2,3170,0,61,1302,5.301635463972332E-9,1,AA9_301015,Y,26.0
561,0,0.006166485767374929,0.9890935529143661,1.010906447085634,124,2,3191,0,148,2353,7.294956749781534E-9,1,AA9_301015,Y,26.0
584,0,0.004252423635542759,0.9909984861726638,1.0090015138273363,98,2,3199,0,102,1499,2.588039116346863E-9,1,AA9_301015,Y,26.0
594,0,0.0023665634525571245,0.9928753519876885,1.0071246480123115,34,2,3203,0,94,1999,4.174968704084847E-9,1,AA9_301015,Y,26.0
712,0,4.294767817812201E-5,0.9951878855750298,1.0048121144249702,12,2,3239,0,16,173,5.053399698695671E-9,1,AA9_301015,Y,26.0
737,0,0.003313223421097926,0.9919332069922977,1.0080667930077023,14,2,3246,0,34,382,2.277999011646159E-9,1,AA9_301015,Y,26.0
765,0,0.004904864279544392,0.9903491572605275,1.0096508427394726,18,2,3254,0,34,215,7.138405311302165E-9,1,AA9_301015,Y,26.0
768,0,0.011195584556048629,0.9840884397665292,1.0159115602334707,16,2,3254,0,24,256,2.841211821369427E-9,1,AA9_301015,Y,26.0
